-1.0000000000	-123955.407663
-0.9972222222	-130105.778966
-0.9944444444	-132206.315569
-0.9916666667	-133613.290094
-0.9888888889	-134651.541608
-0.9861111111	-135448.743119
-0.9833333333	-136071.394240
-0.9805555556	-136559.657606
-0.9777777778	-136940.164427
-0.9750000000	-137231.756284
-0.9722222222	-137448.415946
-0.9694444444	-137600.908071
-0.9666666667	-137697.763856
-0.9638888889	-137745.905051
-0.9611111111	-137751.057193
-0.9583333333	-137718.033363
-0.9555555556	-137650.935065
-0.9527777778	-137553.298185
-0.9500000000	-137428.201460
-0.9472222222	-137278.348692
-0.9444444444	-137106.132146
-0.9416666667	-136913.682214
-0.9388888889	-136702.906856
-0.9361111111	-136475.523322
-0.9333333333	-136233.083955
-0.9305555556	-135976.997408
-0.9277777778	-135708.546244
-0.9250000000	-135428.901680
-0.9222222222	-135139.136031
-0.9194444444	-134840.233296
-0.9166666667	-134533.098221
-0.9138888889	-134218.564123
-0.9111111111	-133897.399671
-0.9083333333	-133570.314808
-0.9055555556	-133237.965945
-0.9027777778	-132900.960543
-0.9000000000	-132559.861172
-0.8972222222	-132215.189125
-0.8944444444	-131867.427652
-0.8916666667	-131517.024854
-0.8888888889	-131164.396301
-0.8861111111	-130809.927394
-0.8833333333	-130453.975505
-0.8805555556	-130096.871932
-0.8777777778	-129738.923674
-0.8750000000	-129380.415069
-0.8722222222	-129021.609283
-0.8694444444	-128662.749690
-0.8666666667	-128304.061140
-0.8638888889	-127945.751134
-0.8611111111	-127588.010910
-0.8583333333	-127231.016450
-0.8555555556	-126874.929421
-0.8527777778	-126519.898045
-0.8500000000	-126166.057915
-0.8472222222	-125813.532755
-0.8444444444	-125462.435132
-0.8416666667	-125112.867121
-0.8388888889	-124764.920932
-0.8361111111	-124418.679496
-0.8333333333	-124074.217014
-0.8305555556	-123731.599478
-0.8277777778	-123390.885159
-0.8250000000	-123052.125064
-0.8222222222	-122715.363373
-0.8194444444	-122380.637846
-0.8166666667	-122047.980210
-0.8138888889	-121717.416522
-0.8111111111	-121388.967518
-0.8083333333	-121062.648931
-0.8055555556	-120738.471810
-0.8027777778	-120416.442800
-0.8000000000	-120096.564428
-0.7972222222	-119778.835357
-0.7944444444	-119463.250639
-0.7916666667	-119149.801943
-0.7888888889	-118838.477784
-0.7861111111	-118529.263727
-0.7833333333	-118222.142589
-0.7805555556	-117917.094628
-0.7777777778	-117614.097720
-0.7750000000	-117313.127529
-0.7722222222	-117014.157666
-0.7694444444	-116717.159842
-0.7666666667	-116422.104013
-0.7638888889	-116128.958511
-0.7611111111	-115837.690178
-0.7583333333	-115548.264484
-0.7555555556	-115260.645643
-0.7527777778	-114974.796724
-0.7500000000	-114690.679750
-0.7472222222	-114408.255796
-0.7444444444	-114127.485085
-0.7416666667	-113848.327068
-0.7388888889	-113570.740509
-0.7361111111	-113294.683561
-0.7333333333	-113020.113842
-0.7305555556	-112746.988495
-0.7277777778	-112475.264261
-0.7250000000	-112204.897533
-0.7222222222	-111935.844417
-0.7194444444	-111668.060782
-0.7166666667	-111401.502309
-0.7138888889	-111136.124542
-0.7111111111	-110871.882929
-0.7083333333	-110608.732861
-0.7055555556	-110346.629712
-0.7027777778	-110085.528876
-0.7000000000	-109825.385796
-0.6972222222	-109566.155998
-0.6944444444	-109307.795117
-0.6916666667	-109050.258928
-0.6888888889	-108793.503361
-0.6861111111	-108537.484535
-0.6833333333	-108282.158770
-0.6805555556	-108027.482608
-0.6777777778	-107773.412834
-0.6750000000	-107519.906487
-0.6722222222	-107266.920877
-0.6694444444	-107014.413598
-0.6666666667	-106762.342539
-0.6638888889	-106510.665894
-0.6611111111	-106259.342174
-0.6583333333	-106008.330213
-0.6555555556	-105757.589176
-0.6527777778	-105507.078567
-0.6500000000	-105256.758231
-0.6472222222	-105006.588363
-0.6444444444	-104756.529511
-0.6416666667	-104506.542576
-0.6388888889	-104256.588819
-0.6361111111	-104006.629863
-0.6333333333	-103756.627689
-0.6305555556	-103506.544645
-0.6277777778	-103256.343441
