time,strain
5.444335937500000000e-02,-5.188044141294419160e-19
5.468750000000000000e-02,-5.309157072060561125e-19
5.493164062500000000e-02,-5.311874729343537976e-19
5.517578125000000000e-02,-5.295787833694748921e-19
5.541992187500000000e-02,-5.384936453716397316e-19
5.566406250000000000e-02,-5.426038475748909060e-19
5.590820312500000000e-02,-5.483717978783291693e-19
5.615234375000000000e-02,-5.520219346894098399e-19
5.639648437500000000e-02,-5.517410028808899177e-19
5.664062500000000000e-02,-5.631510611106617998e-19
5.688476562500000000e-02,-5.654389526420636957e-19
5.712890625000000000e-02,-5.644892282142708653e-19
5.737304687500000000e-02,-5.729170327039801048e-19
5.761718750000000000e-02,-5.736346381007840956e-19
5.786132812500000000e-02,-5.778195460869510521e-19
5.810546875000000000e-02,-5.850833524006792753e-19
5.834960937500000000e-02,-5.844912061946368310e-19
5.859375000000000000e-02,-5.904848971893502555e-19
5.883789062500000000e-02,-5.963881542286234856e-19
5.908203125000000000e-02,-5.944371562484259419e-19
5.932617187500000000e-02,-5.989091795328097213e-19
5.957031250000000000e-02,-6.020931978644259024e-19
5.981445312500000000e-02,-6.038610235960806540e-19
6.005859375000000000e-02,-6.115623102791580758e-19
6.030273437500000000e-02,-6.120863555095596974e-19
6.054687500000000000e-02,-6.137252543500467896e-19
6.079101562500000000e-02,-6.229705323333950733e-19
6.103515625000000000e-02,-6.211340890573846169e-19
6.127929687500000000e-02,-6.210341012113466692e-19
6.152343750000000000e-02,-6.266635654044786534e-19
6.176757812500000000e-02,-6.257999052753916946e-19
6.201171875000000000e-02,-6.331966563617602455e-19
6.225585937500000000e-02,-6.364676885978307436e-19
6.250000000000000000e-02,-6.313355927690445973e-19
6.274414062500000000e-02,-6.398267294111835405e-19
6.298828125000000000e-02,-6.421614199615390771e-19
6.323242187500000000e-02,-6.387265696763808537e-19
6.347656250000000000e-02,-6.449540258826576067e-19
6.372070312500000000e-02,-6.434439100953699592e-19
6.396484375000000000e-02,-6.469741612656113938e-19
6.420898437500000000e-02,-6.543030317977115285e-19
6.445312500000000000e-02,-6.496106498635669449e-19
6.469726562500000000e-02,-6.522336317858965208e-19
6.494140625000000000e-02,-6.582260291183267576e-19
6.518554687500000000e-02,-6.543709656032228018e-19
6.542968750000000000e-02,-6.562426407857765641e-19
6.567382812500000000e-02,-6.575451969835532585e-19
6.591796875000000000e-02,-6.569658490447355144e-19
6.616210937500000000e-02,-6.656397001122334515e-19
6.640625000000000000e-02,-6.630254983677054516e-19
6.665039062500000000e-02,-6.597137339549484727e-19
6.689453125000000000e-02,-6.674567593407801038e-19
6.713867187500000000e-02,-6.651392940465890883e-19
6.738281250000000000e-02,-6.658224974008675474e-19
6.762695312500000000e-02,-6.665244589898863607e-19
6.787109375000000000e-02,-6.614073529814635406e-19
6.811523437500000000e-02,-6.711753357965587427e-19
6.835937500000000000e-02,-6.709482782866116557e-19
6.860351562500000000e-02,-6.609970962858182348e-19
6.884765625000000000e-02,-6.682787694980059537e-19
6.909179687500000000e-02,-6.710155473965307794e-19
6.933593750000000000e-02,-6.674408433983207161e-19
6.958007812500000000e-02,-6.679753317662996643e-19
6.982421875000000000e-02,-6.629748516750108228e-19
7.006835937500000000e-02,-6.702363907233537572e-19
7.031250000000000000e-02,-6.758861511531838176e-19
7.055664062500000000e-02,-6.627363453060775078e-19
7.080078125000000000e-02,-6.637247815733767988e-19
7.104492187500000000e-02,-6.713406806060690677e-19
7.128906250000000000e-02,-6.661844636270061166e-19
7.153320312500000000e-02,-6.639272553042659374e-19
7.177734375000000000e-02,-6.610606255031119820e-19
7.202148437500000000e-02,-6.620574315923997953e-19
7.226562500000000000e-02,-6.710193898248034822e-19
7.250976562500000000e-02,-6.613757366801170256e-19
7.275390625000000000e-02,-6.552247030129858815e-19
